epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9010.93,0.13058,0.14228,0.85185,0.99671,0.99058,0.99497,0.99159,0.08159,0.0945,0.75795,0.0011882,0.0011882,0.0011882
43,9217.12,0.13102,0.14245,0.85447,0.9999,0.99058,0.995,0.9911,0.07032,0.08017,0.7496,0.0011684,0.0011684,0.0011684
44,9443.59,0.1329,0.14448,0.85388,0.99832,0.99058,0.99498,0.99225,0.07455,0.08142,0.74856,0.0011486,0.0011486,0.0011486
45,9669.91,0.13261,0.14286,0.85386,0.99829,0.99058,0.99498,0.99271,0.07537,0.08304,0.74788,0.0011288,0.0011288,0.0011288
46,9874.25,0.12826,0.1435,0.85175,0.99842,0.9904,0.99498,0.99206,0.07116,0.07792,0.74756,0.001109,0.001109,0.001109
47,10097.4,0.13244,0.14244,0.85418,0.99673,0.99058,0.99491,0.99207,0.07961,0.08566,0.75145,0.0010892,0.0010892,0.0010892
48,10320.3,0.1281,0.13989,0.85196,0.9983,0.99058,0.99497,0.99173,0.08319,0.09948,0.75936,0.0010694,0.0010694,0.0010694
49,10543.2,0.12717,0.1391,0.8516,0.99837,0.99058,0.99497,0.99173,0.07496,0.08546,0.74952,0.0010496,0.0010496,0.0010496
50,10769.2,0.11837,0.13207,0.8515,0.99829,0.99058,0.99498,0.99203,0.07219,0.08535,0.74737,0.0010298,0.0010298,0.0010298
51,11030.8,0.12605,0.13743,0.85382,0.99828,0.99058,0.99498,0.99227,0.0708,0.07994,0.74558,0.00101,0.00101,0.00101
52,11277.4,0.12365,0.13713,0.84964,0.99825,0.99058,0.99497,0.99251,0.07202,0.08195,0.74508,0.0009902,0.0009902,0.0009902
53,11508.9,0.12203,0.13375,0.85056,0.99672,0.99058,0.99495,0.99352,0.07115,0.08229,0.74849,0.0009704,0.0009704,0.0009704
54,11755.1,0.11881,0.13277,0.85046,0.99833,0.99058,0.99497,0.99278,0.0638,0.07044,0.74646,0.0009506,0.0009506,0.0009506
55,12063.3,0.11564,0.12879,0.85091,0.99671,0.99058,0.99495,0.99308,0.06697,0.07931,0.7455,0.0009308,0.0009308,0.0009308
56,12290.1,0.11367,0.12235,0.84909,0.99684,0.99055,0.99495,0.99294,0.06686,0.08382,0.74611,0.000911,0.000911,0.000911
57,12600.2,0.11138,0.1224,0.84805,0.99828,0.99058,0.99495,0.99275,0.06177,0.0698,0.74364,0.0008912,0.0008912,0.0008912
58,12889.6,0.11085,0.12218,0.84715,0.9982,0.99058,0.99498,0.99266,0.06246,0.07244,0.74599,0.0008714,0.0008714,0.0008714
59,13078.3,0.11128,0.12658,0.84657,0.99818,0.99058,0.99494,0.99266,0.06218,0.07552,0.74335,0.0008516,0.0008516,0.0008516
60,13265.1,0.11168,0.12536,0.84839,0.99837,0.99058,0.99497,0.99244,0.06391,0.0761,0.7445,0.0008318,0.0008318,0.0008318
61,13452,0.10847,0.12229,0.84574,0.9982,0.99058,0.99492,0.993,0.0581,0.06818,0.74101,0.000812,0.000812,0.000812
62,13639,0.10823,0.12119,0.84544,0.99827,0.99058,0.99497,0.99297,0.0587,0.0731,0.7438,0.0007922,0.0007922,0.0007922
63,13825.6,0.10986,0.1217,0.84905,0.99818,0.99058,0.99497,0.99335,0.05729,0.06865,0.74125,0.0007724,0.0007724,0.0007724
64,14012.5,0.10596,0.11733,0.84629,0.99776,0.99058,0.99494,0.99343,0.05722,0.06903,0.74103,0.0007526,0.0007526,0.0007526
65,14199.4,0.10583,0.1161,0.84518,0.99842,0.99051,0.99497,0.99302,0.05704,0.07288,0.74223,0.0007328,0.0007328,0.0007328
66,14386.2,0.10176,0.1124,0.84564,0.9983,0.99058,0.99494,0.99359,0.05419,0.06754,0.74073,0.000713,0.000713,0.000713
67,14573.6,0.10008,0.11197,0.84472,0.99829,0.99058,0.99497,0.99317,0.05326,0.06799,0.74042,0.0006932,0.0006932,0.0006932
68,14762.2,0.10078,0.11169,0.84555,0.99834,0.99058,0.99491,0.99348,0.05216,0.06667,0.74072,0.0006734,0.0006734,0.0006734
69,14950.3,0.09807,0.10852,0.84601,0.99829,0.99058,0.99492,0.99381,0.05456,0.0701,0.74127,0.0006536,0.0006536,0.0006536
70,15144.3,0.09709,0.10842,0.84272,0.99833,0.99058,0.99498,0.99353,0.05401,0.06708,0.74062,0.0006338,0.0006338,0.0006338
71,15332.3,0.098,0.10809,0.84425,0.99842,0.99057,0.99498,0.99347,0.0533,0.06737,0.7402,0.000614,0.000614,0.000614
