epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1772.41,1.54712,1.9904,1.48773,0.70576,0.36881,0.37125,0.15817,1.95078,1.87572,1.93537,0.000660045,0.000660045,0.000660045
43,1827.71,1.52655,1.97413,1.44373,0.71699,0.38354,0.38747,0.17032,1.82472,1.78321,1.85292,0.000649046,0.000649046,0.000649046
44,1880.15,1.50373,1.90103,1.44831,0.78959,0.33754,0.39259,0.181,1.88573,1.72087,1.9235,0.000638047,0.000638047,0.000638047
45,1932.15,1.49728,1.91135,1.44492,0.69369,0.40835,0.43065,0.20326,1.89146,1.7274,1.90913,0.000627048,0.000627048,0.000627048
46,1985.06,1.53769,1.90834,1.46626,0.61036,0.39065,0.40069,0.17373,1.81689,1.79504,1.79895,0.000616049,0.000616049,0.000616049
47,2040.04,1.48393,1.86743,1.44099,0.70714,0.38754,0.44426,0.19834,1.86084,1.66984,1.81329,0.000605051,0.000605051,0.000605051
48,2110.56,1.47573,1.80858,1.42146,0.53744,0.40216,0.42247,0.1906,1.75595,1.66135,1.78191,0.000594052,0.000594052,0.000594052
49,2162.65,1.47386,1.83413,1.42928,0.88644,0.35345,0.42229,0.20966,1.71359,1.66945,1.74046,0.000583053,0.000583053,0.000583053
50,2215.57,1.4368,1.79103,1.40229,0.78083,0.34704,0.41492,0.19127,1.81805,1.70691,1.79874,0.000572054,0.000572054,0.000572054
51,2264.87,1.43148,1.76826,1.40682,0.67249,0.42987,0.4652,0.21591,1.77272,1.55506,1.80816,0.000561055,0.000561055,0.000561055
52,2321.45,1.43524,1.71663,1.39983,0.80564,0.43349,0.45054,0.20977,1.76692,1.72673,1.78706,0.000550056,0.000550056,0.000550056
53,2376.71,1.40481,1.70611,1.37973,0.71655,0.38031,0.40974,0.19361,1.79961,1.61293,1.78218,0.000539057,0.000539057,0.000539057
54,2426.92,1.42828,1.72004,1.39954,0.7533,0.41283,0.44133,0.21378,1.8414,1.62631,1.80139,0.000528058,0.000528058,0.000528058
55,2502.53,1.39001,1.65951,1.37784,0.72182,0.39146,0.41389,0.2159,1.80135,1.5634,1.82661,0.000517059,0.000517059,0.000517059
56,2563.85,1.41351,1.69777,1.37074,0.63039,0.41289,0.4218,0.19536,1.81583,1.65071,1.81205,0.00050606,0.00050606,0.00050606
57,2639.37,1.40425,1.6353,1.38164,0.71731,0.45545,0.46577,0.2346,1.7247,1.61119,1.69965,0.000495062,0.000495062,0.000495062
58,2717.6,1.39083,1.64486,1.36894,0.78973,0.39612,0.43714,0.21954,1.79051,1.66761,1.83677,0.000484063,0.000484063,0.000484063
59,2757.51,1.3826,1.61509,1.37245,0.89697,0.40681,0.47141,0.24276,1.81131,1.59564,1.82828,0.000473064,0.000473064,0.000473064
60,2795.14,1.355,1.59268,1.33729,0.76244,0.43637,0.45539,0.21873,1.77795,1.60789,1.73422,0.000462065,0.000462065,0.000462065
61,2830.6,1.36499,1.54302,1.34494,0.74914,0.40693,0.4456,0.23386,1.69652,1.57484,1.74791,0.000451066,0.000451066,0.000451066
62,2866.31,1.34788,1.55483,1.33004,0.63854,0.45892,0.45712,0.23468,1.71379,1.55508,1.70147,0.000440067,0.000440067,0.000440067
63,2901.69,1.33903,1.53997,1.33357,0.6814,0.43246,0.45615,0.22843,1.7815,1.4713,1.76947,0.000429068,0.000429068,0.000429068
64,2937.57,1.30674,1.47749,1.32427,0.69013,0.43106,0.42831,0.22586,1.73817,1.51122,1.77919,0.000418069,0.000418069,0.000418069
65,2972.8,1.32913,1.47718,1.3298,0.7337,0.41931,0.44241,0.2125,1.86569,1.59601,1.89354,0.00040707,0.00040707,0.00040707
66,3007.92,1.31014,1.47644,1.31664,0.69752,0.4513,0.46271,0.23172,1.71646,1.56464,1.68857,0.000396071,0.000396071,0.000396071
67,3043.42,1.29474,1.44563,1.3027,0.60191,0.46739,0.44344,0.2199,1.69964,1.51042,1.68103,0.000385073,0.000385073,0.000385073
68,3078.71,1.27576,1.42584,1.29213,0.82934,0.42692,0.46354,0.23894,1.74464,1.50821,1.77533,0.000374074,0.000374074,0.000374074
69,3113.95,1.26713,1.43023,1.28973,0.69612,0.42195,0.43946,0.2373,1.73833,1.53006,1.71904,0.000363075,0.000363075,0.000363075
70,3149.09,1.25196,1.38091,1.27579,0.73663,0.46101,0.48409,0.25457,1.72589,1.49725,1.77026,0.000352076,0.000352076,0.000352076
71,3185.02,1.23403,1.34236,1.26818,0.88749,0.38457,0.46175,0.24822,1.74777,1.50581,1.76025,0.000341077,0.000341077,0.000341077
72,3220.33,1.23329,1.36436,1.27308,0.79216,0.44686,0.47925,0.2576,1.7325,1.48927,1.77431,0.000330078,0.000330078,0.000330078
73,3256.53,1.2545,1.31834,1.2607,0.7186,0.4585,0.47631,0.24619,1.752,1.48036,1.75405,0.000319079,0.000319079,0.000319079
74,3291.67,1.2322,1.34044,1.26777,0.68592,0.41822,0.47343,0.23453,1.72179,1.39076,1.72928,0.00030808,0.00030808,0.00030808
75,3326.87,1.22429,1.3476,1.25591,0.82178,0.45737,0.47964,0.24629,1.75946,1.51293,1.69121,0.000297081,0.000297081,0.000297081
76,3362.15,1.21682,1.30111,1.2645,0.78356,0.46913,0.49112,0.25359,1.741,1.40706,1.69276,0.000286083,0.000286083,0.000286083
77,3397.4,1.21696,1.27533,1.2442,0.7593,0.43795,0.479,0.23701,1.74403,1.42211,1.74823,0.000275084,0.000275084,0.000275084
78,3432.61,1.17011,1.25046,1.23095,0.70289,0.48642,0.4795,0.24212,1.80053,1.48157,1.81443,0.000264085,0.000264085,0.000264085
79,3467.78,1.16833,1.24848,1.23291,0.71826,0.42391,0.46492,0.23656,1.81996,1.48809,1.84247,0.000253086,0.000253086,0.000253086
80,3502.94,1.15345,1.21013,1.21235,0.80966,0.42987,0.48745,0.24927,1.76386,1.4463,1.76522,0.000242087,0.000242087,0.000242087
81,3538.4,1.15329,1.20444,1.20691,0.76187,0.47678,0.49198,0.23311,1.7791,1.48103,1.79377,0.000231088,0.000231088,0.000231088
82,3574.12,1.173,1.21578,1.22159,0.80482,0.47387,0.50603,0.27264,1.69621,1.35188,1.71368,0.000220089,0.000220089,0.000220089
83,3623.57,1.13036,1.19072,1.19108,0.82267,0.47509,0.5271,0.26333,1.7468,1.38944,1.77579,0.00020909,0.00020909,0.00020909
84,3681.2,1.11889,1.18521,1.20359,0.72851,0.50817,0.51077,0.25454,1.72179,1.41152,1.73885,0.000198091,0.000198091,0.000198091
85,3759.63,1.13701,1.17242,1.20416,0.77876,0.48911,0.51642,0.26548,1.74508,1.39813,1.77289,0.000187092,0.000187092,0.000187092
